feature,coef,hazard_ratio,abs_coef,direction
ct_Renal Cell Carcinoma,-0.5791242128201753,0.5603889331614571,0.5791242128201753,better OS (benefit)
ct_Melanoma,-0.5241413357022078,0.5920635299789758,0.5241413357022078,better OS (benefit)
VHL,-0.34512099883266933,0.7081346648159756,0.34512099883266933,better OS (benefit)
STK11,0.27298162328288006,1.3138760998734693,0.27298162328288006,worse OS (resistance)
TP53,0.2346202094518629,1.2644284595524882,0.2346202094518629,worse OS (resistance)
log_tmb,-0.21667463229299477,0.8051919101346467,0.21667463229299477,better OS (benefit)
drug_PD-1/PDL-1,0.1862976690179303,1.2047808329343723,0.1862976690179303,worse OS (resistance)
CREBBP,-0.15966764861700855,0.8524270472010076,0.15966764861700855,better OS (benefit)
SMARCA4,0.15226745080356935,1.1644716336626932,0.15226745080356935,worse OS (resistance)
PTPRD,-0.15191265057985914,0.8590633161464559,0.15191265057985914,better OS (benefit)
drug_Combo,-0.15097482012736224,0.8598693497873308,0.15097482012736224,better OS (benefit)
SETD2,-0.13934859347208844,0.8699247255160869,0.13934859347208844,better OS (benefit)
EPHA5,-0.1207547832582746,0.8862512565948476,0.1207547832582746,better OS (benefit)
POLE,-0.1001578377666285,0.9046946117891409,0.1001578377666285,better OS (benefit)
EPHA3,-0.08737950636907607,0.9163292768408714,0.08737950636907607,better OS (benefit)
ct_Glioma,0.0720439340205316,1.0747025590309283,0.0720439340205316,worse OS (resistance)
PBRM1,0.07039414591827539,1.0729309892947327,0.07039414591827539,worse OS (resistance)
is_metastasis,0.061510711943675765,1.063441887997394,0.061510711943675765,worse OS (resistance)
ct_Bladder Cancer,-0.060014867281966554,0.9417505322094633,0.060014867281966554,better OS (benefit)
KEAP1,0.057642717959239795,1.0593364462024932,0.057642717959239795,worse OS (resistance)
SPEN,-0.05247017835697276,0.9488826178725753,0.05247017835697276,better OS (benefit)
KRAS,-0.05168409583798931,0.9496288111573764,0.05168409583798931,better OS (benefit)
PIK3CA,0.037801114863632745,1.0385246652178974,0.037801114863632745,worse OS (resistance)
ATRX,-0.037198750269843935,0.963484623489258,0.037198750269843935,better OS (benefit)
ct_Breast Cancer,0.03297933786516686,1.033529184101329,0.03297933786516686,worse OS (resistance)
is_male,-0.012462246679092612,0.9876150855393172,0.012462246679092612,better OS (benefit)
ct_Esophagogastric Cancer,0.011531774007054973,1.011598521237506,0.011531774007054973,worse OS (resistance)
ARID1A,-0.008257630846450167,0.9917763697346995,0.008257630846450167,better OS (benefit)
age,-0.007526672256552051,0.9925015822092689,0.007526672256552051,better OS (benefit)
KMT2C,-0.007474611117106828,0.9925532543175827,0.007474611117106828,better OS (benefit)
NOTCH3,-0.005467022926640189,0.9945478940470077,0.005467022926640189,better OS (benefit)
PAK5,-0.0031049075406283174,0.9968999076998749,0.0031049075406283174,better OS (benefit)
BAP1,0.0018781146911979727,1.0018798794532302,0.0018781146911979727,worse OS (resistance)
ARID1B,-0.00011638760537964803,0.999883619167395,0.00011638760537964803,better OS (benefit)
