feature,importance,importance_sd
log_tmb,0.030149036704856004,0.004080532001908431
ct_Melanoma,0.015786841721298562,0.0033823530372754412
ct_Renal Cell Carcinoma,0.011866070237179272,0.0032583512800354007
TP53,0.01017729519144317,0.0021409220549458152
VHL,0.007865736023833936,0.0029758630846747187
ct_Non-Small Cell Lung Cancer,0.004386300744622385,0.0007790512827673758
ct_Bladder Cancer,0.00328501788914346,0.0002902323387515597
STK11,0.0031964762939232115,0.0006593097558249915
age,0.002660986702548951,0.0009218236794337698
is_male,0.0025692027390529894,0.0003639992870596272
drug_PD-1/PDL-1,0.0023594464529115068,0.0011159172455358789
KEAP1,0.002235862339019579,0.00043650942153955225
ct_Breast Cancer,0.0021061676079927594,0.0006025641233788248
is_metastasis,0.001450710390418597,0.0002378020651051446
CREBBP,0.0014000795627292506,0.0005104917890543742
SETD2,0.0013165262263946432,0.001301938471801506
BRAF,0.0012540482838519162,0.00077842888715393
SPEN,0.0012319752382829341,0.0006193388966558223
SMARCA4,0.0010689838791944073,0.00025212694270325295
PAK5,0.0009824375875284064,0.00037838142593713735
PTPRD,0.0008326651144868302,0.0005769837891368516
PIK3CA,0.0007881449039324195,9.10946422179938e-05
POLE,0.0007025962640435646,0.0003544107476091206
drug_Combo,0.0007020974381549916,0.0014685964385259531
KMT2D,0.0006494713069113755,0.00028767855973154993
EPHA5,0.0005351154719579254,0.0003108133135882506
ct_Cancer of Unknown Primary,0.0005142894911103646,0.00022764086254987515
ATRX,0.0005045623862833359,0.0003906240687358226
ct_Esophagogastric Cancer,0.0005033153215619146,0.00046512444823987043
ct_Colorectal Cancer,0.0004924658584856356,0.00019534041858770953
EPHA3,0.00039768893965834716,0.00014511268639759954
KMT2C,0.0003562863909074565,0.0002561276645742048
NOTCH1,0.00033471217122704733,7.94952653056e-05
ARID1A,0.0002945566871975336,0.0004771354369012098
PIK3CG,0.0002854531147312489,0.0002390380736489467
ERBB4,0.0002681189151036101,0.00021722421319222672
ARID1B,0.00023457287409764938,0.00019249541740379902
FAT1,0.0002199822168571064,7.591070518567472e-05
BRCA2,0.00021786220683073232,0.00017801105230190193
KMT2A,0.00019279620593031231,0.000320729772834686
drug_CTLA4,0.00018119850402118499,0.000158092987312184
RB1,0.00017808084221768717,0.0001508920485587707
NOTCH3,0.0001546360254551349,0.00021730867635431645
KDM6A,0.00014964776656944956,0.00014973088113657404
APC,0.00014877482126447462,9.253573168992174e-05
EP300,0.00014665481123812273,3.698214533566588e-05
GRIN2A,0.00014615598534950536,0.00012936251437381324
KRAS,0.00013792535818821783,0.0002314511136075515
ATM,0.00013742653229962266,0.00011113830722187819
NF1,0.0001243323527248208,9.637365868797319e-05
JAK2,0.00012358411389197245,9.356842202268895e-05
NOTCH2,0.00011510407378638732,0.00030646056691449873
ALK,0.00011398171553709258,9.33879135740737e-05
CDKN2A,7.232975384192652e-05,0.00016347253867729695
ATR,6.684266906771263e-05,6.13695234742384e-05
PIK3C2G,5.374848949288857e-05,0.0001875845680862759
PIK3R1,4.327314583303376e-05,1.6495230115882672e-05
CARD11,4.190137463948585e-05,0.0001526283933938337
TP63,3.55413445602748e-05,3.813449697022691e-05
BAP1,3.329662806175193e-05,2.6169349359175564e-05
PTEN,3.042837920248509e-05,4.190842590019783e-05
MSH2,2.0077742014779076e-05,1.704605646939687e-05
ARID2,1.6585960794790466e-05,0.00010076915721882238
BRCA1,9.976517771348448e-06,5.741917179043399e-06
ERCC2,5.861204190660274e-06,8.135604037147987e-06
NOTCH4,2.494129443197934e-07,0.0001873183369203125
ct_Other,0.0,0.0
RAD51,0.0,0.0
SOCS1,0.0,0.0
EPCAM,0.0,0.0
B2M,0.0,0.0
MLH1,0.0,0.0
IFNGR1,0.0,0.0
PMS2,0.0,0.0
PMS1,0.0,0.0
MSH6,-1.2345940741931294e-05,2.5506665663052392e-05
JAK1,-1.2595353686228883e-05,3.240065184382239e-05
FLT1,-1.6960080211125828e-05,2.786680457494487e-05
ROS1,-3.479310572733763e-05,0.00043942823676025903
KDR,-5.374848949284417e-05,9.13243129288209e-05
FANCA,-7.95627292260459e-05,3.737575926883423e-05
EGFR,-9.564986413226339e-05,0.00016482195468828435
PBRM1,-0.00014253949765734574,0.00037294087140440506
NRAS,-0.000162866652616378,0.0002261442446322888
PTPRT,-0.00018917971823815272,0.0003070306774588905
ct_Head and Neck Cancer,-0.0008920253952259261,0.0005245845009859941
ct_Glioma,-0.00461413946922431,0.0010840093861445666
